trade_time,total_nav,total_nav_hfq,cum_return_pct,profit,profit_hfq
2016-02-16 09:30:28,99067.34,99067.34,-0.93,-932.66,-932.66
2016-02-16 14:16:40,99944.95,99944.95,-0.06,-55.05,-55.05
2016-02-19 13:08:37,99396.03,99396.03,-0.6,-603.97,-603.97
2016-02-22 11:01:56,99396.03,99396.03,-0.6,-603.97,-603.97
2016-02-24 09:31:08,101474.35,101474.35,1.47,1474.35,1474.35
2016-02-24 11:27:11,100086.3,100086.3,0.09,86.3,86.3
2016-02-25 09:46:33,104116.97,104116.97,4.12,4116.97,4116.97
2016-03-03 13:53:24,98768.64,98768.64,-1.23,-1231.36,-1231.36
2016-03-16 09:30:45,99910.71,99910.71,-0.09,-89.29,-89.29
2016-04-01 09:30:18,100162.02,100162.02,0.16,162.02,162.02
2016-04-29 09:30:08,99053.38,99053.38,-0.95,-946.62,-946.62
2016-06-08 09:34:10,97660.83,97660.83,-2.34,-2339.17,-2339.17
2016-07-11 09:38:04,97015.04,97015.04,-2.98,-2984.96,-2984.96
2016-08-23 09:30:53,101072.92,101072.92,1.07,1072.92,1072.92
2016-08-24 09:30:51,100385.17,100385.17,0.39,385.17,385.17
2016-08-29 09:31:04,100189.87,100189.87,0.19,189.87,189.87
2016-09-12 09:30:57,102449.96,102449.96,2.45,2449.96,2449.96
2016-09-14 09:30:55,103983.02,103983.02,3.98,3983.02,3983.02
2016-10-11 09:30:47,104501.82,104501.82,4.5,4501.82,4501.82
2016-11-28 09:31:03,106734.61,106734.61,6.73,6734.61,6734.61
2017-01-03 09:30:38,99923.93,99923.93,-0.08,-76.07,-76.07
2017-03-15 09:30:42,105129.64,105129.64,5.13,5129.64,5129.64
2017-05-31 09:31:03,95558.04,95558.04,-4.44,-4441.96,-4441.96
2017-06-16 10:33:50,90835.65,90835.65,-9.16,-9164.35,-9164.35
2017-06-19 10:25:26,87903.21,87903.21,-12.1,-12096.79,-12096.79
2017-07-07 09:31:50,92888.68,92888.68,-7.11,-7111.32,-7111.32
2017-07-17 09:30:40,94208.0,94208.0,-5.79,-5792.0,-5792.0
2017-07-24 09:30:36,94329.93,94329.93,-5.67,-5670.07,-5670.07
2017-08-07 09:31:10,96286.51,96286.51,-3.71,-3713.49,-3713.49
2017-08-14 09:31:10,97347.2,97347.2,-2.65,-2652.8,-2652.8
2017-08-29 09:30:58,103003.91,103003.91,3.0,3003.91,3003.91
2017-09-12 09:31:00,100731.23,100731.23,0.73,731.23,731.23
2017-09-15 09:30:56,101972.48,101972.48,1.97,1972.48,1972.48
2017-09-25 13:39:03,103130.68,103130.68,3.13,3130.68,3130.68
2017-10-11 10:03:56,104297.38,104297.38,4.3,4297.38,4297.38
2017-10-24 13:00:58,106302.37,106302.37,6.3,6302.37,6302.37
2017-11-07 13:59:32,103771.15,103771.15,3.77,3771.15,3771.15
2017-11-09 09:30:32,103566.15,103566.15,3.57,3566.15,3566.15
2017-11-14 09:31:02,101644.48,101644.48,1.64,1644.48,1644.48
2017-11-15 09:30:56,101454.68,101454.68,1.45,1454.68,1454.68
2017-11-17 09:30:20,100243.38,100243.38,0.24,243.38,243.38
2017-11-28 09:54:19,99492.24,99492.24,-0.51,-507.76,-507.76
2017-12-05 10:05:01,99386.24,99386.24,-0.61,-613.76,-613.76
2017-12-07 09:30:20,97712.44,97712.44,-2.29,-2287.56,-2287.56
2017-12-19 13:00:22,97084.6,97084.6,-2.92,-2915.4,-2915.4
2018-01-12 13:00:04,99125.2,99125.2,-0.87,-874.8,-874.8
2018-01-26 09:30:41,94053.81,94053.81,-5.95,-5946.19,-5946.19
2018-03-05 09:30:14,92847.8,92847.8,-7.15,-7152.2,-7152.2
2018-03-13 09:30:09,93307.3,93307.3,-6.69,-6692.7,-6692.7
2018-03-23 14:25:54,93169.46,93169.46,-6.83,-6830.54,-6830.54
2018-03-23 14:26:53,90805.54,90805.54,-9.19,-9194.46,-9194.46
2018-04-04 10:07:59,91927.54,91927.54,-8.07,-8072.46,-8072.46
2018-05-29 11:03:28,87071.86,87071.86,-12.93,-12928.14,-12928.14
2018-06-29 09:30:55,84681.6,84681.6,-15.32,-15318.4,-15318.4
2018-09-07 10:57:51,86619.69,86619.69,-13.38,-13380.31,-13380.31
2018-11-12 09:31:03,86452.83,86452.83,-13.55,-13547.17,-13547.17
2018-11-20 09:31:11,87473.27,87473.27,-12.53,-12526.73,-12526.73
2018-12-27 09:33:07,85932.38,85932.38,-14.07,-14067.62,-14067.62
2019-01-08 09:30:59,87341.52,87341.52,-12.66,-12658.48,-12658.48
2019-01-18 10:22:54,87187.6,87187.6,-12.81,-12812.4,-12812.4
2019-01-23 10:28:32,88118.72,88118.72,-11.88,-11881.28,-11881.28
2019-01-25 10:18:47,87946.08,87946.08,-12.05,-12053.92,-12053.92
2019-02-11 09:32:47,87743.85,87743.85,-12.26,-12256.15,-12256.15
2019-02-12 10:30:56,83750.24,83750.24,-16.25,-16249.76,-16249.76
2019-02-26 09:39:37,86640.46,86640.46,-13.36,-13359.54,-13359.54
2019-02-28 10:02:55,88248.69,88248.69,-11.75,-11751.31,-11751.31
2019-03-01 09:55:20,87911.16,87911.16,-12.09,-12088.84,-12088.84
2019-03-05 10:26:51,86338.18,86338.18,-13.66,-13661.82,-13661.82
2019-03-06 14:58:59,87357.46,87357.46,-12.64,-12642.54,-12642.54
2019-03-08 11:14:13,102585.28,102585.28,2.59,2585.28,2585.28
2019-03-08 11:14:40,115521.17,115521.17,15.52,15521.17,15521.17
2019-03-15 10:32:14,113288.33,113288.33,13.29,13288.33,13288.33
2019-03-18 09:33:57,112392.06,112392.06,12.39,12392.06,12392.06
2019-03-18 13:00:15,111920.65,111920.65,11.92,11920.65,11920.65
2019-03-20 09:32:08,111456.66,111456.66,11.46,11456.66,11456.66
2019-03-21 13:09:54,113917.41,113917.41,13.92,13917.41,13917.41
2019-04-01 09:30:56,112274.17,112274.17,12.27,12274.17,12274.17
2019-04-01 09:33:45,110569.53,110569.53,10.57,10569.53,10569.53
2019-04-03 13:54:30,124350.43,124350.43,24.35,24350.43,24350.43
2019-04-04 09:30:39,123883.81,123883.81,23.88,23883.81,23883.81
2019-04-08 09:35:02,123417.19,123417.19,23.42,23417.19,23417.19
2019-04-08 09:37:56,122970.61,122970.61,22.97,22970.61,22970.61
2019-04-08 10:44:56,122523.15,122523.15,22.52,22523.15,22523.15
2019-04-09 09:30:56,123597.79,123597.79,23.6,23597.79,23597.79
2019-04-09 10:16:07,122732.25,122732.25,22.73,22732.25,22732.25
2019-04-22 09:31:41,118903.27,118903.27,18.9,18903.27,18903.27
2019-04-22 13:34:19,118448.43,118448.43,18.45,18448.43,18448.43
2019-05-06 13:42:22,113257.38,113257.38,13.26,13257.38,13257.38
2019-05-10 11:28:38,113225.51,113225.51,13.23,13225.51,13225.51
2019-05-23 13:29:46,112349.61,112349.61,12.35,12349.61,12349.61
2019-05-27 09:31:56,111939.75,111939.75,11.94,11939.75,11939.75
2019-06-11 10:38:19,111526.15,111526.15,11.53,11526.15,11526.15
2019-06-13 10:31:41,115682.36,115682.36,15.68,15682.36,15682.36
2019-06-20 09:30:51,108112.08,108112.08,8.11,8112.08,8112.08
2019-06-27 11:21:44,108229.08,108229.08,8.23,8229.08,8229.08
2019-07-09 07:36:40,107814.69,107814.69,7.81,7814.69,7814.69
2019-07-12 10:02:15,104046.03,104046.03,4.05,4046.03,4046.03
2019-07-15 09:30:37,94204.87,94204.87,-5.8,-5795.13,-5795.13
2019-07-16 09:30:58,95681.72,95681.72,-4.32,-4318.28,-4318.28
2019-08-26 14:37:11,93103.33,93103.33,-6.9,-6896.67,-6896.67
2019-08-28 10:48:07,95962.11,95962.11,-4.04,-4037.89,-4037.89
2019-08-30 09:30:55,94802.38,94802.38,-5.2,-5197.62,-5197.62
2019-09-16 09:31:28,95703.99,95703.99,-4.3,-4296.01,-4296.01
2019-09-17 09:30:57,97105.09,97105.09,-2.89,-2894.91,-2894.91
2019-09-18 09:30:36,95762.8,95762.8,-4.24,-4237.2,-4237.2
2019-09-26 07:36:12,97058.8,97058.8,-2.94,-2941.2,-2941.2
2019-10-15 09:30:43,97403.73,97403.73,-2.6,-2596.27,-2596.27
2019-10-18 09:47:23,94793.75,94793.75,-5.21,-5206.25,-5206.25
2019-10-18 14:51:09,95000.78,95000.78,-5.0,-4999.22,-4999.22
2019-12-23 09:31:19,91026.85,91026.85,-8.97,-8973.15,-8973.15
2020-02-07 13:00:29,90607.73,90607.73,-9.39,-9392.27,-9392.27
2020-02-11 14:25:08,90843.93,90843.93,-9.16,-9156.07,-9156.07
2020-02-13 11:07:57,89807.99,89807.99,-10.19,-10192.01,-10192.01
2020-02-17 11:16:31,103185.6,103185.6,3.19,3185.6,3185.6
2020-02-18 11:09:33,102985.92,102985.92,2.99,2985.92,2985.92
2020-02-19 10:06:51,104083.93,104083.93,4.08,4083.93,4083.93
2020-02-19 10:47:59,118753.93,118753.93,18.75,18753.93,18753.93
2020-02-24 11:29:26,118701.28,118701.28,18.7,18701.28,18701.28
2020-02-25 10:46:44,125427.71,125427.71,25.43,25427.71,25427.71
2020-03-02 14:33:54,122764.52,122764.52,22.76,22764.52,22764.52
2020-03-02 14:35:16,122890.85,122890.85,22.89,22890.85,22890.85
2020-03-04 10:17:20,119326.25,119326.25,19.33,19326.25,19326.25
2020-03-09 09:32:40,117663.62,117663.62,17.66,17663.62,17663.62
2020-03-09 09:53:04,115583.97,115583.97,15.58,15583.97,15583.97
2020-03-09 10:42:54,116961.28,116961.28,16.96,16961.28,16961.28
2020-03-23 10:01:51,111149.38,111149.38,11.15,11149.38,11149.38
2020-04-28 11:28:03,101558.61,101558.61,1.56,1558.61,1558.61
2020-05-06 10:44:33,97365.65,97365.65,-2.63,-2634.35,-2634.35
2020-05-11 09:32:23,99670.39,99670.39,-0.33,-329.61,-329.61
2020-06-03 09:31:28,102866.0,102866.0,2.87,2866.0,2866.0
2020-06-29 09:32:05,104242.65,104242.65,4.24,4242.65,4242.65
2020-07-07 10:45:15,109983.21,109983.21,9.98,9983.21,9983.21
2020-07-07 10:45:59,110822.1,110822.1,10.82,10822.1,10822.1
2020-07-22 09:31:19,111137.95,111137.95,11.14,11137.95,11137.95
2020-07-30 13:09:07,120372.26,120372.26,20.37,20372.26,20372.26
2020-08-06 09:31:50,120464.78,120464.78,20.46,20464.78,20464.78
2020-08-17 09:31:28,130490.14,130490.14,30.49,30490.14,30490.14
2020-08-20 09:31:24,125541.87,125541.87,25.54,25541.87,25541.87
2020-08-31 09:32:14,125617.51,125617.51,25.62,25617.51,25617.51
2020-09-03 09:31:40,124378.69,124378.69,24.38,24378.69,24378.69
2020-10-14 09:31:15,122950.6,122950.6,22.95,22950.6,22950.6
2020-11-10 09:31:46,111903.1,111903.1,11.9,11903.1,11903.1
2020-11-10 09:53:44,111735.04,111735.04,11.74,11735.04,11735.04
2020-11-26 13:12:49,98901.43,98901.43,-1.1,-1098.57,-1098.57
2020-12-04 09:37:32,102665.07,102665.07,2.67,2665.07,2665.07
2020-12-07 13:00:22,101616.58,101616.58,1.62,1616.58,1616.58
2021-01-05 09:32:52,100251.72,100251.72,0.25,251.72,251.72
2021-03-03 09:31:57,90807.72,90807.72,-9.19,-9192.28,-9192.28
2021-03-04 10:38:23,93595.58,93595.58,-6.4,-6404.42,-6404.42
2021-03-09 10:01:23,93427.18,93427.18,-6.57,-6572.82,-6572.82
2021-04-19 09:31:44,89304.99,89304.99,-10.7,-10695.01,-10695.01
2021-04-28 10:20:20,96187.67,96187.67,-3.81,-3812.33,-3812.33
2021-06-04 09:32:30,119567.97,119567.97,19.57,19567.97,19567.97
2021-06-07 09:33:18,119115.75,119115.75,19.12,19115.75,19115.75
2021-06-15 10:10:20,118887.9,118887.9,18.89,18887.9,18887.9
2021-06-16 10:11:08,120313.92,120313.92,20.31,20313.92,20313.92
2021-07-13 11:00:01,127603.2,127603.2,27.6,27603.2,27603.2
2021-07-29 13:24:04,129421.62,129421.62,29.42,29421.62,29421.62
2021-07-29 13:31:55,131802.59,131802.59,31.8,31802.59,31802.59
2021-08-10 10:03:36,143410.07,143410.07,43.41,43410.07,43410.07
2022-03-16 07:41:56,230762.41,230762.41,130.76,130762.41,130762.41
2022-05-23 09:34:30,229262.09,229262.09,129.26,129262.09,129262.09
2022-06-01 07:44:52,267185.9,267185.9,167.19,167185.9,167185.9
2023-01-16 09:33:26,266689.82,266689.82,166.69,166689.82,166689.82
2023-02-06 09:33:55,268763.69,268763.69,168.76,168763.69,168763.69
2023-02-08 10:40:56,267413.66,267413.66,167.41,167413.66,167413.66
2023-02-10 09:32:53,263472.51,263472.51,163.47,163472.51,163472.51
2023-02-21 13:59:16,262262.68,262262.68,162.26,162262.68,162262.68
2023-02-22 09:41:15,261311.07,261311.07,161.31,161311.07,161311.07
2023-03-01 13:01:06,258659.86,258659.86,158.66,158659.86,158659.86
2023-03-01 13:01:28,257734.15,257734.15,157.73,157734.15,157734.15
2023-03-01 13:46:17,270186.2,270186.2,170.19,170186.2,170186.2
2023-03-15 09:32:29,272176.07,272176.07,172.18,172176.07,172176.07
2023-03-15 13:49:47,269438.86,269438.86,169.44,169438.86,169438.86
2023-03-16 10:49:30,264767.51,264767.51,164.77,164767.51,164767.51
2023-03-17 13:01:17,261480.25,261480.25,161.48,161480.25,161480.25
2023-03-17 13:15:27,260461.92,260461.92,160.46,160461.92,160461.92
2023-03-23 10:23:19,275886.52,275886.52,175.89,175886.52,175886.52
2023-03-29 10:39:03,292514.26,292514.26,192.51,192514.26,192514.26
2023-04-11 13:00:53,313204.7,313204.7,213.2,213204.7,213204.7
2023-04-12 11:12:56,312293.99,312293.99,212.29,212293.99,212293.99
2023-04-12 11:13:21,314418.44,314418.44,214.42,214418.44,214418.44
2023-04-13 10:13:18,316141.84,316141.84,216.14,216141.84,216141.84
2023-05-05 09:34:17,336837.12,336837.12,236.84,236837.12,236837.12
2023-05-05 09:45:55,337282.52,337282.52,237.28,237282.52,237282.52
2023-05-09 13:46:12,333051.12,333051.12,233.05,233051.12,233051.12
2023-05-12 10:10:53,325265.77,325265.77,225.27,225265.77,225265.77
2023-05-22 09:32:46,338317.39,338317.39,238.32,238317.39,238317.39
2023-05-23 09:31:46,302014.21,302014.21,202.01,202014.21,202014.21
2023-05-26 14:47:09,276073.62,276073.62,176.07,176073.62,176073.62
2023-05-31 07:44:18,262173.02,262173.02,162.17,162173.02,162173.02
2023-06-21 09:32:15,297338.64,297338.64,197.34,197338.64,197338.64
2023-07-04 09:32:23,295657.97,295657.97,195.66,195657.97,195657.97
2023-08-23 13:23:34,319142.99,319142.99,219.14,219142.99,219142.99
2023-10-13 13:10:07,341754.87,341754.87,241.75,241754.87,241754.87
2023-10-13 13:36:25,340450.05,340450.05,240.45,240450.05,240450.05
2023-10-19 14:38:24,342468.46,342468.46,242.47,242468.46,242468.46
2024-03-04 09:42:08,341175.16,341175.16,241.18,241175.16,241175.16
2024-03-05 09:30:49,308236.77,308236.77,208.24,208236.77,208236.77
2024-03-05 13:12:06,305809.97,305809.97,205.81,205809.97,205809.97
2024-03-20 09:30:20,308939.79,308939.79,208.94,208939.79,208939.79
2024-03-21 10:30:30,307513.77,307513.77,207.51,207513.77,207513.77
2024-03-22 13:43:57,308171.66,308171.66,208.17,208171.66,208171.66
