strategy_id,label,description,strategy_focus,return_pct,return_since_2020,return_since_2023,max_drawdown_pct,sharpe_proxy,cash_pct,position_count,orphan_sell_count,rotate_count,rebalance_count,trade_log_count,leader_switches
route_b_merged_boost,合并+共识加仓,单组合信号开仓，≥2组合持有时加仓至15%,基准,2684.11,2223.68,1125.42,30.58,3.49,0.06,17,0,0,0,659,
route_f_partition_mimic,分仓模仿·20%,每师傅独立20%子资金，完全跟调仓，单票封顶20%,基准,2140.87,1663.26,930.04,16.1,4.63,1.07,19,0,0,0,625,
route_e_dual_pool_boost,双池·再平衡,活跃/稳健池各50%，池内共识加仓，季末现金再平衡,防御,1225.18,888.82,604.5,18.42,3.59,0.55,16,0,0,0,599,
,,,,,,,,,,,,,,,
# benchmarks,,,,,,,,,,,,,,,
ZH810445,行业中优选,,,-99.92,2156.37,265.79,33.97,,,,,,,,
ZH1797852,狗屎运,,,-99.96,3456.88,2543.27,53.56,,,,,,,,
ZH3207026,牛永贵,,,-99.97,3214.11,3214.11,23.03,,,,,,,,
ZH3337164,三年10倍,,,-99.97,2889.68,2889.68,4.44,,,,,,,,
ZH3365207,5年退休计划,,,-99.98,1730.69,1730.69,17.91,,,,,,,,
ZH3459601,深度夹头,,,-99.99,1110.34,1110.34,0.0,,,,,,,,
ZH3558598,2026垃圾站,,,-99.99,483.6,483.6,0.0,,,,,,,,
ZH3472193,利润断层,,,-100.0,391.46,391.46,5.58,,,,,,,,
ZH3481002,净利润断层学习中,,,-100.0,230.12,230.12,1.34,,,,,,,,
